:10
ARRAY_MORRO1:1
BATT1:1
BMP1:1
BTN_MENU1:1
BTN_MENU2:1
BTN_RST1:1
BUK9Q20-40H1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C15:1
C17:1
C18:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CA1:1
CA10:1
CA11:1
CA12:1
CA13:1
CA14:1
CA2:1
CA3:1
CA4:1
CA5:1
CA6:1
CA7:1
CA8:1
CA9:1
CB1:1
CB2:1
CDM1:1
CDM10:1
CDM2:1
CDM3:1
CDM4:1
CDM5:1
CDM6:1
CDM7:1
CDM8:1
CDM9:1
CEN1:1
CEN2:1
CEN3:1
CEN4:1
CF1:1
CF2:1
CG1:1
CG2:1
CIR1:1
CIR2:1
CONN_ENC_L1:1
CONN_ENC_R1:1
CONN_MORRO1:1
CPH1:1
CPH2:1
CPH3:1
CPH4:1
CPH5:1
CPH6:1
CR1:1
CRBC1:1
CRBC2:1
CRBC3:1
CRBC4:1
CSRAM1:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
DC-DC1:1
DEIXAME_QUE_PENSE_1:1
DPH1:1
DPH2:1
ENC_L1:1
ENC_R1:1
G***:1
IC1:1
IC2:1
IR_RECIVER1:1
J1:1
J2:1
JP1:1
JP2:1
JP99:1
JPH2:1
JPH3:1
KIBUZZARD-6A86F9E9:1
KIBUZZARD-6A86F9FA:1
KIBUZZARD-6A86FA0A:1
KIBUZZARD-6A86FA24:1
KIBUZZARD-6A86FA32:1
KIBUZZARD-6A86FBBC:1
KIBUZZARD-6A86FBC4:1
KIBUZZARD-6A86FBCD:1
KIBUZZARD-6A86FBEE:1
KIBUZZARD-6A86FBF6:1
L1:1
LDO1:1
LOGIC_MPU1:1
LSM6DSR1:1
MOT_L1:1
MOT_L2:1
MOT_R1:1
MOT_R2:1
MOT_S1:1
MOT_S2:1
MP1:1
MP2:1
MUX1:1
MUX2:1
MUX3:1
POWER_MPU1:1
POWER_SWITCH1:1
Q1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R5:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R6:1
R60:1
R61:1
R62:1
R63:1
R64:1
R65:1
R7:1
R8:1
R9:1
RBC1:1
RBC2:1
RBC3:1
RBC4:1
RBTN1:1
RBTN2:1
RCS1:1
RCS2:1
RCS3:1
RCS4:1
RF1:1
RF2:1
RGB1:1
RPH1:1
RPH2:1
RRAM1:1
S1:1
S10:1
S11:1
S12:1
S13:1
S14:1
S15:1
S16:1
S17:1
S18:1
S19:1
S2:1
S20:1
S21:1
S22:1
S23:1
S24:1
S3:1
S4:1
S5:1
S6:1
S7:1
S8:1
S9:1
SEN_MARK_CONN_L1:1
SEN_MARK_CONN_R1:1
SEN_MARK_L1:1
SEN_MARK_R1:1
SML1:1
SML2:1
SMR1:1
SMR2:1
SRAM1:1
USB1:1
Y1:1
